first_name,last_name,club,position,base_salary,guaranteed_comp
Stefan,Cleveland,Sporting Kansas City,Goalkeeper,215000.0,237000.0
Stephen,Afrifa,Sporting Kansas City,Left Wing,113400.0,113400.0
Taylor,Calheira,Sporting Kansas City,Center Forward,88025.0,100824.0
Wyatt,Meyer,Sporting Kansas City,Center-back,113400.0,116550.0
Zorhan,Bassong,Sporting Kansas City,Central Midfield,450000.0,540833.0
Ben,Lundt,St. Louis City SC,Goalkeeper,225000.0,225000.0
Brendan,McSorley,St. Louis City SC,Center Forward,88025.0,88025.0
Caden,Glover,St. Louis City SC,Center Forward,150000.0,155000.0
Cedric,Teuchert,St. Louis City SC,Center Forward,1400000.0,1542500.0
Célio Antonio,Pompeu Pinheiro Martins,St. Louis City SC,Left Wing,272750.0,309006.0
Chris,Durkin,St. Louis City SC,Defensive Midfield,600000.0,668500.0
Christian,Olivares,St. Louis City SC,Goalkeeper,113400.0,113400.0
Conrad,Wallem,St. Louis City SC,Right Midfield,600000.0,657188.0
Daniel,Edelman,St. Louis City SC,Defensive Midfield,600000.0,676350.0
Dante,Polvara,St. Louis City SC,Defensive Midfield,400000.0,436806.0
Eduard,Löwen,St. Louis City SC,Central Midfield,1300000.0,1444250.0
Fallou,Fall,St. Louis City SC,Center-back,645500.0,743919.0
Jake,Girdwood-Reich,St. Louis City SC,Center-back,296750.0,335527.0
Jaziel,Orozco,St. Louis City SC,Right-back,88025.0,88025.0
Joshua,Yaro,St. Louis City SC,Center-back,206000.0,227725.0
Kyle,Hiebert,St. Louis City SC,Center-back,260000.0,289000.0
Lukas,MacNaughton,St. Louis City SC,Center-back,200000.0,219306.0
Mamadou,Mbacke,St. Louis City SC,Center-back,435000.0,496350.0
Marcel,Hartel,St. Louis City SC,Central Midfield,2022300.0,2407813.0
Miguel,Perez,St. Louis City SC,Central Midfield,113400.0,113400.0
MyKhi,Joyner,St. Louis City SC,Left Midfield,113400.0,130680.0
Rafael,Santos,St. Louis City SC,Left-back,200000.0,226354.0
Roman,Bürki,St. Louis City SC,Goalkeeper,2500000.0,2750000.0
Sang-bin,Jeong,St. Louis City SC,Center Forward,685125.0,791833.0
Sergio,Córdova,St. Louis City SC,Center Forward,1200000.0,1213500.0
Simon,Becher,St. Louis City SC,Center Forward,400000.0,444375.0
Timo,Baumgartl,St. Louis City SC,Center-back,600000.0,693333.0
Tomas,Totland,St. Louis City SC,Right-back,350000.0,391763.0
Tomas,Ostrák,St. Louis City SC,Attacking Midfield,700000.0,801000.0
Tyson,Pearce,St. Louis City SC,Right-back,130000.0,130000.0
Adam,Pearlman,Toronto FC,Center-back,130000.0,143300.0
Adisa,De Rosario,Toronto FC,Goalkeeper,88025.0,104638.0
Alonso,Coello,Toronto FC,Central Midfield,300000.0,335000.0
Benjamín,Kuscevic,Toronto FC,Center-back,650004.0,804982.0
Cassius,Mailula,Toronto FC,Center Forward,350000.0,366003.0
Dániel,Sallói,Toronto FC,Left Wing,1300000.0,1343333.0
Deandre,Kerr,Toronto FC,Center Forward,160000.0,165319.0
Derrick,Etienne Jr.,Toronto FC,Left Wing,375000.0,375000.0
Djordje,Mihailovic,Toronto FC,Attacking Midfield,2279170.0,2828204.0
Emilio,Aristizábal,Toronto FC,Center Forward,324996.0,344788.0
Henry,Wingo,Toronto FC,Right-back,725000.0,796031.0
Jonathan,Osorio,Toronto FC,Central Midfield,800000.0,1083333.0
José,Cifuentes,Toronto FC,Central Midfield,1374999.96,1570000.0
Josh,Sargent,Toronto FC,Center Forward,3210000.0,5265667.0
Jules-Anthony,Vilsaint,Toronto FC,Center Forward,150000.0,156875.0
Kobe,Franklin,Toronto FC,Right-back,150000.0,160802.0
Lazar,Stefanović,Toronto FC,Center-back,113400.0,125306.0
Luka,Gavran,Toronto FC,Goalkeeper,225000.0,249475.0
Malik,Henry,Toronto FC,Right Midfield,88025.0,88025.0
Markus,Cimermancic,Toronto FC,Central Midfield,88025.0,101881.0
Matheus,Pereira de Souza,Toronto FC,Left-back,477000.0,650800.0
Nicksoen,Gomis,Toronto FC,Center-back,113400.0,113400.0
Raheem,Edwards,Toronto FC,Left-back,375000.0,414340.0
Richie,Laryea,Toronto FC,Right-back,875000.0,1214438.0
Stefan,Kapor,Toronto FC,Center-back,88025.0,97740.0
Theo,Corbeanu,Toronto FC,Right Wing,450000.0,496625.0
Walker,Zimmerman,Toronto FC,Center-back,1140000.0,1708037.0
William,Yarbrough,Toronto FC,Goalkeeper,135000.0,150000.0
Zane,Monlouis,Toronto FC,Center-back,125000.0,137891.0
Adrián,Zendejas,Vancouver Whitecaps,Goalkeeper,113400.0,113400.0
Andrés,Cubas,Vancouver Whitecaps,Defensive Midfield,1000000.0,1153333.0
AZ,Jackson,Vancouver Whitecaps,Attacking Midfield,240000.0,403680.0
Belal,Halbouni,Vancouver Whitecaps,Center-back,204000.0,230233.0
Brian,White,Vancouver Whitecaps,Center Forward,1065000.0,1065000.0
Bruno,Caicedo,Vancouver Whitecaps,Left Wing,390000.0,430150.0
Cheikh,Sabaly,Vancouver Whitecaps,Left Wing,1109091.0,1414727.0
Édier,Ocampo,Vancouver Whitecaps,Right-back,400000.0,453799.0
Emmanuel,Sabbi,Vancouver Whitecaps,Right Wing,1080000.0,1167750.0
Giuseppe,Bovalina,Vancouver Whitecaps,Right-back,125000.0,137980.0
Isaac,Boehmer,Vancouver Whitecaps,Goalkeeper,165000.0,173750.0
J.C.,Ngando,Vancouver Whitecaps,Defensive Midfield,200000.0,200000.0
Jeevan,Badwal,Vancouver Whitecaps,Central Midfield,113400.0,113400.0
Joedrick,Pupe,Vancouver Whitecaps,Center-back,450000.0,490600.0
Kenji,Cabrera,Vancouver Whitecaps,Left Wing,400000.0,440053.0
Liam,MacKenzie,Vancouver Whitecaps,Attacking Midfield,88025.0,103450.0
Mathías,Laborda,Vancouver Whitecaps,Center-back,1050000.0,1193625.0
Mihail,Gherasimencov,Vancouver Whitecaps,Left-back,88025.0,97748.0
Nelson,Pierre,Vancouver Whitecaps,Center Forward,125000.0,139116.0
Nikola,Djordjevic,Vancouver Whitecaps,Right-back,88025.0,88025.0
Oliver,Larraz,Vancouver Whitecaps,Central Midfield,450000.0,496667.0
Ralph,Priso,Vancouver Whitecaps,Defensive Midfield,175000.0,189167.0
Ranko,Veselinović,Vancouver Whitecaps,Center-back,715000.0,782125.0
Rayan,Elloumi,Vancouver Whitecaps,Center Forward,88025.0,103671.0
Ryan,Gauld,Vancouver Whitecaps,Attacking Midfield,3500000.0,3675000.0
Sam,Adekugbe,Vancouver Whitecaps,Left-back,1300000.0,1388000.0
Sebastian,Berhalter,Vancouver Whitecaps,Central Midfield,480000.0,480000.0
Sebastian,Schonlau,Vancouver Whitecaps,Center-back,720000.0,776833.0
Tate,Johnson,Vancouver Whitecaps,Left-back,88025.0,89025.0
Thomas,Müller,Vancouver Whitecaps,Center Forward/Attacking Midfi,5000004.0,5152504.0
Tristan,Blackmon,Vancouver Whitecaps,Center-back,975000.0,975000.0
Yohei,Takaoka,Vancouver Whitecaps,Goalkeeper,772727.0,841818.0
